City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Upernavik,GL,2022-04-26 23:40:49,72.7868,-56.1549,24.57,80,94,5.82
175,Sakakah,SA,2022-04-26 23:41:54,29.9697,40.2064,74.77,39,48,8.08
176,Saint-Louis,SN,2022-04-26 23:41:54,16.3333,-15.0,78.44,47,3,11.77
177,Piranhas,BR,2022-04-26 23:41:54,-16.4269,-51.8222,79.27,48,36,3.22
178,Isla Mujeres,MX,2022-04-26 23:41:55,21.2311,-86.731,80.65,80,14,12.71
179,Husavik,IS,2022-04-26 23:41:55,66.0449,-17.3389,37.56,99,100,7.23
180,Hare Bay,CA,2022-04-26 23:41:55,48.8499,-54.0148,40.35,92,91,3.87
181,Kapaa,US,2022-04-26 23:39:33,22.0752,-159.319,80.58,80,100,14.97
182,Mulege,MX,2022-04-26 23:41:56,26.8833,-111.9833,84.16,24,1,5.95
183,Novyy Urengoy,RU,2022-04-26 23:41:56,66.0833,76.6333,23.0,88,100,18.72
184,Buchanan,LR,2022-04-26 23:42:56,5.8808,-10.0467,80.73,86,100,7.61
185,Kralendijk,BQ,2022-04-26 23:42:57,12.15,-68.2667,80.58,78,40,14.97
186,Moses Lake,US,2022-04-26 23:42:52,47.1301,-119.2781,63.28,20,40,18.41
187,Ahipara,NZ,2022-04-26 23:42:57,-35.1667,173.1667,65.48,59,91,8.08
188,Isangel,VU,2022-04-26 23:42:58,-19.55,169.2667,78.22,59,97,17.0
189,Misratah,LY,2022-04-26 23:42:58,32.3754,15.0925,64.2,77,86,14.45
190,Iqaluit,CA,2022-04-26 23:41:33,63.7506,-68.5145,5.7,77,20,6.91
191,Karratha,AU,2022-04-26 23:40:45,-20.7377,116.8463,78.62,59,100,10.31
192,Bambous Virieux,MU,2022-04-26 23:42:59,-20.3428,57.7575,74.21,88,40,4.61
193,Chimore,BO,2022-04-26 23:42:59,-16.9833,-65.1333,75.06,96,99,2.75
194,Nikolskoye,RU,2022-04-26 23:43:00,59.7035,30.7861,37.87,92,86,5.35
195,Kaoma,ZM,2022-04-26 23:43:00,-14.7833,24.8,61.97,88,45,4.83
