City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Belyy Yar,RU,53.6039,91.3903,57.09,36,0,4.47,clear sky
100,Lagoa,PT,39.05,-27.9833,62.55,84,100,19.93,light rain
101,Severo-Kurilsk,RU,50.6789,156.125,35.22,90,87,17.27,overcast clouds
102,Manglaur,IN,29.8,77.8667,92.84,14,1,5.77,clear sky
103,Bethel,US,41.3712,-73.414,45.54,40,0,6.91,clear sky
104,Zaozerne,UA,45.1582,33.2787,52.07,73,32,11.07,scattered clouds
105,Beyneu,KZ,45.3167,55.2,69.49,30,73,5.17,broken clouds
106,Provideniya,RU,64.3833,-173.3,32.36,86,100,18.01,snow
107,Stornoway,GB,58.2093,-6.3865,46.92,89,63,2.3,broken clouds
108,Pisco,PE,-13.7,-76.2167,65.01,82,0,5.75,clear sky
109,Airai,TL,-8.9266,125.4092,76.3,43,88,2.3,overcast clouds
110,Leningradskiy,RU,69.3833,178.4167,26.35,92,100,4.29,overcast clouds
111,Maniitsoq,GL,65.4167,-52.9,31.93,99,100,15.23,snow
112,Oneonta,US,42.4529,-75.0638,37.29,49,0,5.66,clear sky
113,Chuy,UY,-33.6971,-53.4616,47.8,69,0,8.48,clear sky
114,Champerico,GT,14.3,-91.9167,84.78,66,9,3.76,clear sky
115,Chokurdakh,RU,70.6333,147.9167,9.14,87,42,3.89,scattered clouds
116,El Alto,PE,-4.2714,-81.2147,69.33,76,87,9.66,overcast clouds
117,San Quintin,MX,30.4833,-115.95,57.38,76,0,20.15,clear sky
118,Beringovskiy,RU,63.05,179.3167,28.87,83,100,14.54,overcast clouds
119,Yellowknife,CA,62.456,-114.3525,32.56,71,22,20.0,few clouds
120,Codrington,AU,-38.2667,141.9667,69.12,55,100,13.94,light rain
121,Itarema,BR,-2.9248,-39.9167,75.61,91,39,6.49,scattered clouds
122,Bubaque,GW,11.2833,-15.8333,76.68,74,99,16.49,overcast clouds
123,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,10.36,broken clouds
124,Beterou,BJ,9.1992,2.2586,77.31,68,85,1.61,overcast clouds
125,Saldanha,ZA,-33.0117,17.9442,60.71,81,58,8.48,broken clouds
126,Vila Velha,BR,-20.3297,-40.2925,75.15,94,20,2.3,few clouds
127,Troitskiy,RU,57.0603,63.7481,41.52,62,8,10.07,clear sky
128,Novodugino,RU,55.6305,34.2842,31.41,63,21,5.57,few clouds
129,Victoria,HK,22.2855,114.1577,87.96,79,48,8.99,scattered clouds
130,Rudnichnyy,RU,59.617,52.4703,26.1,80,89,3.15,overcast clouds
131,Lerwick,GB,60.1545,-1.1494,44.6,83,96,5.53,overcast clouds
